Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,2604.7,2658.65,2591.68,2658.65,14822116
2006-01-03,2666.81,2727.68,2662.27,2712.46,20960700
2006-01-04,2750.14,2791.3,2735.57,2791.3,22948596
2006-01-05,2793.63,2800.66,2773.12,2787.68,18082740
2006-01-06,2794.87,2838.57,2773.66,2815.84,20954744
2006-01-09,2848.66,2879.67,2797.37,2797.37,22216212
2006-01-10,2796.78,2807.66,2759.45,2759.45,16059518
2006-01-11,2791.24,2826.28,2782.07,2811.99,17284616
2006-01-12,2806.44,2807.2,2777.36,2795.03,13197111
2006-01-13,2753.64,2760.99,2738.65,2748.05,13270874
2006-01-16,2742.5,2800.87,2736.88,2797.05,13500326
2006-01-17,2793.37,2808.17,2776.95,2792.99,14326784
2006-01-18,2734.01,2774.45,2731.44,2771,9954206
2006-01-19,2790.31,2865.9,2787.78,2847.64,17665508
2006-01-20,2860.67,2882.22,2855.47,2870.61,13461621
2006-01-23,2826.98,2876.67,2810.31,2864.61,12622758
2006-01-24,2880.46,2901.14,2847.43,2867.93,14633975
2006-01-25,2904.59,2921.65,2885.15,2913.97,26588866
2006-01-26,2935.68,2935.68,2877.44,2884.27,17501428
2006-01-27,2901.03,2914.27,2857.21,2898.13,11576996
2006-01-30,2897.52,2910.88,2877.78,2898.38,7804766
2006-01-31,2878.85,2878.85,2766.13,2767.17,16496757
2006-02-01,2726.29,2787.94,2722.19,2785.1,11889880
2006-02-02,2809.57,2813.91,2771.99,2781.32,12453365
2006-02-03,2765.74,2774.5,2716.72,2723.5,10703971
2006-02-06,2741.6,2801.68,2741.6,2799.29,8625605
2006-02-07,2812.23,2817.83,2772.58,2814.18,8599434
2006-02-08,2778.02,2804.62,2744.06,2790.47,7871797
2006-02-09,2811.7,2824.66,2795.34,2802.02,8758296
2006-02-10,2791.2,2799.6,2747.44,2754.18,9347804
2006-02-13,2722.87,2762.82,2722.2,2730.77,8605026
2006-02-14,2756.37,2769.77,2741.31,2752.82,7872946
2006-02-15,2769.78,2776.04,2747.87,2776.04,8886666
2006-02-16,2776.05,2782.06,2725.75,2725.75,12858643
2006-02-17,2740.07,2823.39,2731.93,2821.13,17637644
2006-02-20,2839.78,2881.38,2828.85,2867.3,12864309
2006-02-21,2875.49,2877.39,2842.87,2858.71,10189110
2006-02-22,2861.57,2873.09,2842.63,2857.07,9005848
2006-02-23,2857.05,2874.2,2850.43,2860.78,12752919
2006-02-24,2864.73,2901.9,2857.22,2901.8,7952180
2006-02-27,2913.19,2925.66,2890.04,2915.96,20576676
2006-02-28,2850.35,2886.27,2778.52,2798.34,18530720
2006-03-01,2820.35,2843.93,2801.25,2837.41,17440836
2006-03-02,2849.35,2874.29,2828.85,2865.53,17568678
2006-03-03,2874.94,2879.74,2807.42,2847.66,16246359
2006-03-06,2850.35,2869.67,2829.07,2869.67,13656693
2006-03-07,2848.14,2848.14,2762.82,2804.38,19536056
2006-03-08,2796.59,2801.98,2717.86,2732.46,17125380
2006-03-09,2751.38,2765.47,2718.47,2738.72,15706684
2006-03-10,2738.25,2744.08,2682.35,2720.83,12769169
2006-03-13,2734.36,2741.92,2697.78,2722.28,8405066
2006-03-14,2708.73,2708.73,2681.39,2691.06,18704086
2006-03-15,2723.12,2756.31,2722.32,2735.89,16327592
2006-03-16,2752.07,2796.35,2744.19,2795.39,12797956
2006-03-17,2814.82,2845.53,2793.24,2793.24,27721860
2006-03-20,2797.79,2814.18,2782.77,2788.02,9325900
2006-03-21,2778.65,2789.66,2758.99,2768.75,9809593
2006-03-22,2742.81,2763.27,2726.71,2754.4,10920992
2006-03-23,2766.85,2799.27,2766.85,2798.73,9202766
2006-03-24,2819.79,2835.9,2806.13,2809.5,10374434
2006-03-27,2814.83,2835.9,2811.05,2835.9,7410427
2006-03-28,2834.35,2835.2,2792.3,2792.3,8837769
2006-03-29,2770.66,2789.17,2737.05,2789.17,10389190
2006-03-30,2815.34,2844.69,2812.46,2825.98,7131884
2006-03-31,2830.44,2839.7,2802.62,2826.28,5982534
2006-04-03,2824.04,2872.86,2821.21,2872.86,8976887
2006-04-04,2869.42,2878.8,2848.05,2878.8,7604157
2006-04-05,2891.48,2911.25,2859.11,2860.22,9665812
2006-04-06,2890.67,2895.97,2867.45,2881.9,14837300
2006-04-07,2900.45,2948.09,2898.17,2934.18,26174580
2006-04-10,2940.75,2957.11,2924.15,2947.68,18440304
2006-04-11,2943.22,2962.04,2914.3,2930.63,12875822
2006-04-12,2911.85,2957.83,2907.06,2957.83,18990700
2006-04-13,2965.05,3002.8,2964.64,2983,21824454
2006-04-18,3011.62,3056.88,3010.05,3039.78,16563371
2006-04-19,3085.73,3089.09,3017.73,3029.48,14930350
2006-04-20,3037.59,3106.95,3013.1,3106.95,20395620
2006-04-21,3066.29,3166.03,3044.78,3142.8,24021160
2006-04-24,3139.35,3197.96,3134.75,3185.76,15834084
2006-04-25,3179,3187.88,3140.07,3177.49,11546999
2006-04-26,3198.91,3218.92,3155.56,3218.92,19158168
2006-04-27,3229.01,3230.59,3098.11,3124.51,18426160
2006-04-28,3114.23,3155.12,3106.94,3150.3,13900152
2006-05-02,3142.69,3165.55,3138.12,3143.62,8383616
2006-05-04,3162.79,3214.51,3150.07,3210.31,16365896
2006-05-05,3243.23,3253.98,3191.88,3237.85,14072426
2006-05-08,3285.46,3297.13,3247.53,3282.41,12293222
2006-05-09,3262.57,3264.64,3216.04,3221.98,15212216
2006-05-10,3239.72,3246.32,3203.27,3208.71,12333683
2006-05-11,3241.79,3303.74,3228.99,3302.78,28310780
2006-05-12,3265.28,3276.62,3229.21,3253.65,12989149
2006-05-15,3212.14,3219.87,3126.41,3137.48,15538689
2006-05-16,3088.85,3130.49,3049.46,3120.45,27277376
2006-05-17,3137.13,3157.81,3018.57,3024.17,27428648
2006-05-18,2980.9,3032.96,2955.12,3011.51,18622644
2006-05-19,3035.72,3048.79,2969.45,2990.72,18523660
2006-05-22,2957.27,2960.18,2814.14,2824.16,22831068
2006-05-23,2813.92,2891.73,2713.17,2873.91,37428796
2006-05-24,2837.76,2887.13,2740.85,2756.46,23515456
2006-05-25,2752.41,2824.79,2675.06,2805.22,23802920
2006-05-26,2862.58,2873.89,2829.7,2841.4,20828914
2006-05-29,2877.62,2889.64,2821.01,2829.26,10470535
2006-05-30,2800.35,2805.37,2750.97,2789.34,11686876
2006-05-31,2724.55,2815.29,2718.28,2774.41,35254356
2006-06-01,2805.76,2819.98,2775.95,2799.79,12823411
2006-06-02,2845.77,2886.95,2839.58,2873.61,11597163
2006-06-05,2863.37,2924.01,2854.5,2894.2,8170017
2006-06-06,2848.13,2869.85,2810.14,2817.48,9666868
